,geom,geom_comment,molecule,n_pretrain_HF,energy_type,epoch,E,E_sigma,wandb_url,experiment,source,method,embedding,orbitals,reuse_from,n_pretrain_variational,n_shared_molecules,epoch_geom,n_moelcules_shared,batch_size,HF_pretraining_loss,n_compounds,model_size
4796,01fac64e87ffccc6cd2a67f3e8a0ba70,CN2H2_smiles_N=C=N_rot_dist_58,CN2H2,,,0.0,-148.38657106,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4797,0d6a81662b3a848733947c02c9090d96,C3H4_smiles_C=C=C_rot_dist_54,C3H4,,,0.0,-116.36333559,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4798,0ee9bf8b870b614e3e67f37555d6734e,C2H4_smiles_C=C_rot_dist_57,C2H4,,,0.0,-78.40067058,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4799,151258110b9bc0d82cc4522c7978695a,CNOH_smiles_N=C=O_rot_dist_50,CNOH,,,0.0,-168.33784034,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4800,1512bd8e61cd397c8207cbf468f8c2a4,C2H4_smiles_C=C_rot_dist_50,C2H4,,,0.0,-78.41125877,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4801,174420a82397416132bd58b65ee10566,COH2_smiles_C=O_rot_dist_54,COH2,,,0.0,-114.28506657,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4802,1d49329b11cdd2369335a13aab3cc318,COH2_smiles_C=O_rot_dist_56,COH2,,,0.0,-114.25909803,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4803,28ae425c4fad0c4ac48818559f9e8dae,CNOH_smiles_N=C=O_rot_dist_59,CNOH,,,0.0,-168.36165404,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4804,29034cafeb6e2373d83078477bff93e9,COH2_smiles_C=O_rot_dist_57,COH2,,,0.0,-114.28588869,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4805,3286c29064387a7053eba13b7a1b00ea,CO2_smiles_O=C=O_rot_dist_57,CO2,,,0.0,-188.12492869,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4806,3780ada9b881baef74b03a48920d511d,CN2H2_smiles_N=C=N_rot_dist_57,CN2H2,,,0.0,-148.4557018,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4807,3962fa508c318c990017beb42983662e,CN2H2_smiles_N=C=N_rot_dist_50,CN2H2,,,0.0,-148.40991065,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4808,3bc0e66e524898b659c5d37ca4f7f35c,COH2_smiles_C=O_rot_dist_55,COH2,,,0.0,-114.22890766,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
4809,41bc67289a2b7be9c21cfa58443c8897,CNOH_smiles_N=C=O_rot_dist_51,CNOH,,,0.0,-168.3306801,,,CCSD(T)_ccpCVDZ,pyscf_CCSD(T)_ccpCVDZ,indep,,,,,,,,,,,
