geom,key,hash,E_mean,method,tabc_weight,sfc_correction,zpve,hf_correction
9.1,"a=9.1_k=-0.20,-0.20,-0.20",60df6580722a9c60ca5945080c127b4e,-8.149422646,moon_tao_lih222,0.064,0.01048619,0.003113454,
9.1,"a=9.1_k=-0.20,-0.20,-0.40",99a98dc474ec010342fb99cc316875bb,-8.155099869,moon_tao_lih222,0.096,0.010600522,0.003113454,
9.1,"a=9.1_k=-0.20,-0.20,-0.60",f42c0f3c8b1b7f806f694fa98defcc7e,-8.159391403,moon_tao_lih222,0.192,0.010743774,0.003113454,
9.1,"a=9.1_k=-0.20,-0.20,0.20",ebbd37ac1d9fc25438ef326233c74d6a,-8.156993866,moon_tao_lih222,0.192,0.01067771,0.003113454,
9.1,"a=9.1_k=-0.20,-0.20,0.00",04449ff52e6ecffab70672c80810ef4e,-8.150476456,moon_tao_lih222,0.048,0.010510399,0.003113454,
9.1,"a=9.1_k=-0.20,-0.40,-0.60",53616d0fdf9022d7f68530299f3ebd1c,-8.160108566,moon_tao_lih222,0.192,0.010746485,0.003113454,
9.1,"a=9.1_k=-0.20,-0.60,-0.60",0631002a780da96be914289a70bf7357,-8.160272598,moon_tao_lih222,0.096,0.010733623,0.003113454,
9.1,"a=9.1_k=-0.40,-0.40,-0.40",66b0e82e416c1c64fd2f58e56a1b96ec,-8.157479286,moon_tao_lih222,0.064,0.010719921,0.003113454,
9.1,"a=9.1_k=-0.40,-0.40,0.00",50cbc410d238152b1e15b405db82cec7,-8.15878582,moon_tao_lih222,0.048,0.010700778,0.003113454,
9.1,"a=9.1_k=0.00,0.00,0.00",8b17af2759d8205b3a3ba7d0202592ea,-8.142939568,moon_tao_lih222,0.008,0.01028768,0.003113454,
8.7,"a=8.7_k=-0.20,-0.20,-0.20",0fdd950b5c91810f4d565b105a2ada6a,-8.155509949,moon_tao_lih222,0.064,0.011677355,0.004484023,
8.7,"a=8.7_k=-0.20,-0.20,-0.40",7914a9cda361b14fcbddb059ef4fd081,-8.161915779,moon_tao_lih222,0.096,0.011845957,0.004484023,
8.7,"a=8.7_k=-0.20,-0.20,-0.60",92d7adb8b02eb5238cfe4a7db8dc277c,-8.166936874,moon_tao_lih222,0.192,0.011975519,0.004484023,
8.7,"a=8.7_k=-0.20,-0.20,0.20",c6dba5542702ea771b61ff000cc0cdea,-8.164125443,moon_tao_lih222,0.192,0.011852201,0.004484023,
8.7,"a=8.7_k=-0.20,-0.20,0.00",3db2595f9462818a94e6ace16d2b03b3,-8.156644821,moon_tao_lih222,0.048,0.011703077,0.004484023,
8.7,"a=8.7_k=-0.20,-0.40,-0.60",3c331489d8ae8a13c8db8b218ebfb1d1,-8.167648315,moon_tao_lih222,0.192,0.011993679,0.004484023,
8.7,"a=8.7_k=-0.20,-0.60,-0.60",44d4dd367a60666d305c138ccae44972,-8.167785645,moon_tao_lih222,0.096,0.011995952,0.004484023,
8.7,"a=8.7_k=-0.40,-0.40,-0.40",be74820112ea3f56c96ea38122eaa272,-8.164672852,moon_tao_lih222,0.064,0.011927114,0.004484023,
8.7,"a=8.7_k=-0.40,-0.40,-0.00",d41a6b1fc1fd10e9dcabd1e79410e6dd,-8.166024208,moon_tao_lih222,0.048,0.011873929,0.004484023,
8.7,"a=8.7_k=0.00,0.00,0.00",64f9d247f162e7717d6ff54cc1462c99,-8.147954941,moon_tao_lih222,0.008,0.011413642,0.004484023,
8.3,"a=8.3_k=-0.20,-0.20,-0.20",22e407fc5e1076d2d9e6dd2197a98be2,-8.160698891,moon_tao_lih222,0.064,0.012648914,0.005854592,
8.3,"a=8.3_k=-0.20,-0.20,-0.40",6c8411612575bbd66d13dce4afed5f88,-8.168139458,moon_tao_lih222,0.096,0.01288052,0.005854592,
8.3,"a=8.3_k=-0.20,-0.20,-0.60",8de50b5438a29ff66b1f09f22a7b7e31,-8.173669815,moon_tao_lih222,0.192,0.013012232,0.005854592,
8.3,"a=8.3_k=-0.20,-0.20,0.20",0ea93dfc912e46d738d5d88dfd9467ee,-8.170422554,moon_tao_lih222,0.192,0.012903188,0.005854592,
8.3,"a=8.3_k=-0.20,-0.20,-0.00",ddfb9f216fffcc74eb043491332fb4c3,-8.161715508,moon_tao_lih222,0.048,0.012635445,0.005854592,
