dist,E,method
1.4,-108.650991,r12-MR-ACPF
1.6,-109.215183,r12-MR-ACPF
1.8,-109.456391,r12-MR-ACPF
1.9,-109.508642,r12-MR-ACPF
1.97,-109.527753,r12-MR-ACPF
2.02,-109.534651,r12-MR-ACPF
2.07,-109.536991,r12-MR-ACPF
2.12,-109.535565,r12-MR-ACPF
2.17,-109.531054,r12-MR-ACPF
2.22,-109.524037,r12-MR-ACPF
2.3,-109.508811,r12-MR-ACPF
2.5,-109.45814,r12-MR-ACPF
2.75,-109.387836,r12-MR-ACPF
3.0,-109.323866,r12-MR-ACPF
3.5,-109.23466,r12-MR-ACPF
4.0,-109.194726,r12-MR-ACPF
5.0,-109.176512,r12-MR-ACPF
6.0,-109.173851,r12-MR-ACPF
