subfigure,molecule,method,steps,energy error of geometry 000 in mHa,energy error of geometry 001 in mHa,energy error of geometry 002 in mHa,energy error of geometry 003 in mHa,energy error of geometry 004 in mHa,energy error of geometry 005 in mHa,energy error of geometry 006 in mHa,energy error of geometry 007 in mHa,energy error of geometry 008 in mHa,energy error of geometry 009 in mHa,energy error of geometry 010 in mHa,energy error of geometry 011 in mHa,energy error of geometry 012 in mHa,energy error of geometry 013 in mHa,energy error of geometry 014 in mHa,energy error of geometry 015 in mHa,energy error of geometry 016 in mHa,energy error of geometry 017 in mHa,energy error of geometry 018 in mHa,energy error of geometry 019 in mHa,energy error of geometry 020 in mHa,energy error of geometry 021 in mHa,energy error of geometry 022 in mHa
a,H4p,indep,64,5.182333441,2.640204352,4.60918945,3.348173167,3.315031244,4.694869021,6.176557545,2.990175649,5.769675993,5.470062925,3.50790369,2.268774579,5.625028482,3.655275064,4.009515694,5.104030903,,,,,,,
a,H4p,indep,128,3.022499533,2.107100409,2.891622006,2.80732062,2.729952051,3.781845072,4.803743366,2.238680288,4.229134344,4.086996748,2.763322467,2.097709248,5.582828394,2.52850886,3.550559929,3.560985859,,,,,,,
a,H4p,indep,256,2.458758802,1.366453093,2.339921414,2.144397761,2.814709856,3.00030897,3.687348369,1.779366895,2.91759374,2.676989271,1.966169948,1.38936765,1.7292689,2.062400537,2.79536908,2.68491679,,,,,,,
a,H4p,indep,512,1.808352919,1.14555828,1.417479931,1.727642084,1.650750353,2.009560565,2.820339207,1.334358617,2.305454038,1.895930006,1.388004894,0.889642308,3.04808127,1.334150988,2.280384949,3.114308651,,,,,,,
a,H4p,indep,1024,1.550264807,0.841455382,1.323304593,1.339735056,1.139223291,1.925160388,1.988854412,0.940729543,1.818364881,1.864697172,1.239827747,0.584704945,2.479810587,1.057823854,1.584560326,1.697625454,,,,,,,
a,H4p,indep,2048,0.995226355,0.640110892,0.851116597,0.909031893,0.930964662,1.36940668,1.691188816,0.750113889,1.917904638,1.015211775,1.108220691,0.056727002,1.904864183,0.762900072,1.267344406,1.493062313,,,,,,,
a,H4p,indep,4096,0.702090712,0.463323516,0.838241993,0.879706408,0.702202036,0.87099264,1.331534389,0.557233259,1.038616918,0.847603513,0.80304491,0.597698758,1.429934374,0.592430788,0.88754361,1.058663662,,,,,,,
a,H4p,indep,8192,0.568457098,0.354843062,0.518165051,0.662983919,0.417530252,0.851323107,1.165833477,0.531364843,0.795310758,0.690843298,0.691941852,0.352127621,1.02283465,0.670274454,0.731260231,0.953044232,,,,,,,
a,H4p,indep,16384,0.472016783,0.256972235,0.497065007,0.531019236,0.379621698,0.747372607,0.816669468,0.425387784,0.623053335,0.488664343,0.604084606,0.253183911,0.788588396,0.473102289,0.524193695,0.738229092,,,,,,,
a,H4p,reuse_same,64,1.552291365,1.599636082,2.230218524,1.12943838,1.337246817,0.971259142,1.979416631,0.788053232,1.893784239,0.644548008,0.750384747,0.493813917,1.594747837,0.962435915,0.823885849,1.76610457,,,,,,,
a,H4p,reuse_same,128,0.99594161,1.642193798,1.34663927,1.093556384,0.61531536,0.704111124,1.371449255,0.580986696,1.42028494,0.438911984,0.59886974,0.337292119,1.291837032,0.545203401,0.77179139,1.384754053,,,,,,,
a,H4p,reuse_same,256,0.855274649,1.358833317,0.702909107,1.015474299,0.387983245,0.700177218,1.030153059,0.449618059,1.062657072,0.308854649,0.503979146,0.366379186,1.044358547,0.411092951,0.567824295,1.25278937,,,,,,,
a,H4p,reuse_same,512,0.732012243,1.214232448,0.647238369,0.83570669,0.339941901,0.595034624,0.834172987,0.364383417,0.960971548,0.250918934,0.436387478,0.348020956,0.963177021,0.434100344,0.627190522,1.124043337,,,,,,,
a,H4p,reuse_same,1024,0.532813521,1.12327576,0.469616527,0.864436129,0.286178511,0.464142824,0.863021635,0.402291971,0.738050176,0.202877591,0.393829762,0.337292119,0.806774433,0.330388262,0.445157936,1.296777597,,,,,,,
a,H4p,reuse_same,2048,0.472255201,1.006927494,0.444940204,0.782539347,0.228838843,0.523866678,0.712579511,0.272830683,0.558044149,0.178916523,0.415168225,0.291634962,0.780786808,0.264227106,0.51000779,1.049299112,,,,,,,
a,H4p,reuse_same,4096,0.4221873,0.968065266,0.414184207,0.679184893,0.273780745,0.382842089,0.677174352,0.373681742,0.65353079,0.173909733,0.33875507,0.233937665,0.747765835,0.270783617,0.414997986,0.700135103,,,,,,,
a,H4p,reuse_same,8192,0.41384265,0.971760753,0.43385374,0.647356013,0.179486197,0.397981669,0.513857626,0.227769571,0.502731039,0.126226017,0.266037404,0.242520734,0.692929562,0.09232731,0.385434082,0.721473566,,,,,,,
a,H4p,reuse_same,16384,0.290937872,0.794734958,0.310233707,0.558306674,0.208930892,0.340880419,0.415509962,0.279744821,0.538851454,0.161392758,0.29512447,0.221897527,0.547732647,0.231921389,0.361592224,0.763673654,,,,,,,
b,H6,indep,64,5.020771209,4.76439608,3.570133588,5.499964417,5.112054817,6.754435209,6.415978748,7.781683087,6.441430099,5.541773173,6.015330176,6.437105309,4.816887913,5.003014983,5.564244859,3.991935041,5.763831688,5.092514492,6.162695198,6.185633359,4.221576826,4.430239515,5.538379122
b,H6,indep,128,3.852043334,2.764541039,2.69394531,3.928070725,3.997686378,4.047907499,4.170314152,3.72046101,3.86746312,4.234524103,3.581314902,4.366201531,3.284571705,3.248969496,3.25516092,2.84108856,3.576102806,2.732647396,4.118494301,4.039150892,3.019947187,2.933447675,2.806817462
b,H6,indep,256,2.794418517,2.544242272,2.328688047,3.092175187,1.91843795,3.200091031,2.800360996,2.526222347,3.16436673,2.922506663,2.518683295,3.066820275,2.257226048,2.222577513,3.104003541,2.359721448,3.000560356,1.989258267,2.793840675,3.025156675,2.452510969,2.427046613,3.033076693
b,H6,indep,512,1.899395172,1.605349907,1.430088422,2.364998521,1.689556114,2.390898374,1.983777363,1.90657246,1.88572789,1.644821497,1.655131201,2.28576101,1.776812611,1.229564131,2.401622407,1.461837079,1.965108467,1.37127731,2.018265037,1.891476331,1.707452909,2.218668775,1.356755663
b,H6,indep,1024,1.567039672,1.348811516,0.967556379,1.696472825,1.320960991,1.510895399,1.489774067,1.186309933,1.476840027,1.42619166,1.359492163,1.288694512,1.838324604,1.085320891,1.608165376,1.111361768,1.306119514,0.889433361,1.508287697,1.376253782,1.197475568,1.250689344,1.324807574
b,H6,indep,2048,1.292381469,0.955659279,0.866466901,1.4959628,1.080158226,1.101053861,0.864163715,0.840602993,1.001671799,1.124830576,0.969439368,0.981134545,0.790951786,1.027385176,1.420529954,0.999305036,0.830951286,1.020086743,0.96564701,1.181227384,0.954765455,0.86039813,1.001750399
b,H6,indep,4096,1.090202514,0.773984322,0.73414459,1.363163651,0.82767295,0.787295011,0.667468387,0.712810635,1.023367889,0.715227457,0.866919379,0.826400887,0.715373097,0.679294051,1.116069429,0.794741895,0.623050285,0.703228451,1.008085518,0.615936933,0.716346876,0.537579374,0.644837786
