,method,epochs,n_atoms,R,z,z_sigma
0,DeepErwin,200000.0,12,1.2,0.007002700426860125,0.0008180338682686901
1,DeepErwin,200000.0,12,1.4,0.025878732622774712,0.0009310201223747249
2,DeepErwin,200000.0,12,1.6,0.052113496052303816,0.0009478726583613033
3,DeepErwin,200000.0,12,1.8,0.11552573524365363,0.0009330690396660824
4,DeepErwin,200000.0,12,2.0,0.1750251119977558,0.0009010219568036819
5,DeepErwin,200000.0,12,2.4,0.3143285551541422,0.0011518793660057597
6,DeepErwin,200000.0,12,3.0,0.574380062085536,0.0011242158236914102
7,DeepErwin,200000.0,12,3.6,0.7622434593311063,0.0007364079326094747
8,DeepErwin,200000.0,16,1.2,0.0055325112395154495,0.0009740095759404456
9,DeepErwin,200000.0,16,1.4,0.03119752943174055,0.0010631910319228713
10,DeepErwin,200000.0,16,1.6,0.07778657413861009,0.0012441469170224363
11,DeepErwin,200000.0,16,1.8,0.1528886494026061,0.0013072626821128178
12,DeepErwin,200000.0,16,2.0,0.21839554928395988,0.0013616278910881618
13,DeepErwin,200000.0,16,2.4,0.3889293164626511,0.0011951065193921244
14,DeepErwin,200000.0,16,3.0,0.6560793011482047,0.001185349060450084
15,DeepErwin,200000.0,16,3.6,0.8147187201561469,0.0008877487649266862
16,DeepErwin,200000.0,20,1.2,0.004385614572485487,0.0015162840072447748
17,DeepErwin,200000.0,20,1.4,0.037254972158000686,0.0014308933322024528
18,DeepErwin,200000.0,20,1.6,0.10004663590100758,0.0013621821043191822
19,DeepErwin,200000.0,20,1.8,0.17694798014713978,0.0015418019171908
20,DeepErwin,200000.0,20,2.0,0.2528917449429014,0.0015467877452999277
21,DeepErwin,200000.0,20,2.4,0.45206564849073594,0.0015311936556825338
22,DeepErwin,200000.0,20,3.0,0.707544363775163,0.0012518910677024942
23,DeepErwin,200000.0,20,3.6,0.8472012957681327,0.0007907068899953753
24,DeepErwin,5000.0,40,1.2,0.00564633917253228,0.0021972525935339783
25,DeepErwin,5000.0,40,1.4,0.05953852402147101,0.002468408522288203
26,DeepErwin,5000.0,40,1.6,0.19730689694499465,0.002486021637581967
27,DeepErwin,5000.0,40,1.8,0.31943394012814236,0.002333725199111728
28,DeepErwin,5000.0,40,2.0,0.4340715441594464,0.002287443276229413
29,DeepErwin,5000.0,40,2.4,0.6406507965172072,0.001873846259439199
30,DeepErwin,5000.0,40,3.0,0.8363901336836708,0.0012913793194588605
31,DeepErwin,5000.0,40,3.6,0.9191343081614886,0.0008558596999703016
32,"Motta (2020), AFQMC",,40,1.1,0.000815661,
33,"Motta (2020), AFQMC",,40,1.2,4.44e-16,
34,"Motta (2020), AFQMC",,40,1.4,0.000815661,
35,"Motta (2020), AFQMC",,40,1.8,0.084013051,
36,"Motta (2020), AFQMC",,40,2.4,0.639477977,
37,"Motta (2020), AFQMC",,40,3.0,0.867862969,
38,"Motta (2020), AFQMC",,40,3.6,0.94045677,
39,"Motta (2020), DMC",,40,1.1,0.000815661,
40,"Motta (2020), DMC",,40,1.8,0.188417618,
41,"Motta (2020), DMC",,40,2.4,0.605220228,
42,"Motta (2020), DMC",,40,3.0,0.846655791,
43,"Motta (2020), DMC",,40,3.6,0.923327896,
44,"Motta (2020), VMC",,40,1.1,-0.000815661,
45,"Motta (2020), VMC",,40,1.8,0.013866232,
46,"Motta (2020), VMC",,40,2.4,0.051386623,
47,"Motta (2020), VMC",,40,3.0,0.305872757,
48,"Motta (2020), VMC",,40,3.6,0.781402936,
49,"Stella (2011), VMC",,18,1.0,0.000718907,
50,"Stella (2011), VMC",,18,1.5,0.005751258,
51,"Stella (2011), VMC",,18,2.0,0.015097052,
52,"Stella (2011), VMC",,18,2.5,0.038820992,
53,"Stella (2011), VMC",,18,3.0,0.131560029,
54,"Stella (2011), VMC",,18,3.5,0.409777139,
55,"Stella (2011), VMC",,18,4.0,0.751976995,
56,"Stella (2011), VMC",,18,4.5,0.87922358,
57,"Stella (2011), VMC",,18,5.0,0.925952552,
58,"Stella (2011), VMC",,18,6.0,0.961179008,
59,"Stella (2011), VMC",,18,7.0,0.974119339,
60,"Stella (2011), VMC",,34,1.0,0.001437815,
61,"Stella (2011), VMC",,34,1.5,0.005751258,
62,"Stella (2011), VMC",,34,2.0,0.016534867,
63,"Stella (2011), VMC",,34,2.5,0.055355859,
64,"Stella (2011), VMC",,34,3.0,0.250179727,
65,"Stella (2011), VMC",,34,3.5,0.679367362,
66,"Stella (2011), VMC",,34,4.0,0.862688713,
67,"Stella (2011), VMC",,34,4.5,0.930265996,
68,"Stella (2011), VMC",,34,5.0,0.956146657,
69,"Stella (2011), VMC",,34,6.0,0.975557153,
70,"Stella (2011), VMC",,34,7.0,0.985621855,
71,"Stella (2011), VMC",,66,1.0,0.001437815,
72,"Stella (2011), VMC",,66,1.5,0.00790798,
73,"Stella (2011), VMC",,66,2.0,0.022286125,
74,"Stella (2011), VMC",,66,2.5,0.080517613,
75,"Stella (2011), VMC",,66,3.0,0.253055356,
76,"Stella (2011), VMC",,66,3.5,0.823148814,
77,"Stella (2011), VMC",,66,4.0,0.927390367,
78,"Stella (2011), VMC",,66,4.5,0.964054637,
79,"Stella (2011), VMC",,66,5.0,0.979151689,
80,"Stella (2011), VMC",,66,6.0,0.989216391,
81,"Stella (2011), VMC",,66,7.0,0.992810927,
