E,E_sigma,steps,geom_id,n_atom,R,k,weight
-2.059715986251831,5.263416626256739e-05,20000,0,4,1.7,0.0,0.25
-2.3294665813446045,4.333124827997387e-05,20000,1,4,1.7,0.25,0.5
-2.4350345134735107,4.964094131430465e-05,20000,2,4,1.7,0.5,0.25
-2.0954501628875732,4.6030989023802686e-05,20000,3,4,1.8,0.0,0.25
-2.331228256225586,3.677412814479031e-05,20000,4,4,1.8,0.25,0.5
-2.4249966144561768,4.149552661669898e-05,20000,5,4,1.8,0.5,0.25
-2.1192920207977295,4.143114350796262e-05,20000,6,4,1.9,0.0,0.25
-2.3264501094818115,3.5665896823662965e-05,20000,7,4,1.9,0.25,0.5
-2.410346746444702,4.058724398619345e-05,20000,8,4,1.9,0.5,0.25
-2.134636640548706,3.809709911695025e-05,20000,9,4,2.0,0.0,0.25
-2.3169989585876465,4.107727199279136e-05,20000,10,4,2.0,0.25,0.5
-2.3926074504852295,3.9850161125722464e-05,20000,11,4,2.0,0.5,0.25
-3.511742115020752,4.764352128991801e-05,20000,12,6,1.7,0.0,0.25
-3.4414560794830322,4.797181709476966e-05,20000,13,6,1.7,0.25,0.5
-3.261214017868042,5.526362000849904e-05,20000,14,6,1.7,0.5,0.25
-3.510025978088379,4.128016221549064e-05,20000,15,6,1.8,0.0,0.25
-3.447598695755005,4.3245660109022385e-05,20000,16,6,1.8,0.25,0.5
-3.2897791862487793,4.758278516033256e-05,20000,17,6,1.8,0.5,0.25
-3.4995338916778564,3.7755004142591814e-05,20000,18,6,1.9,0.0,0.25
-3.4436113834381104,4.690122436860528e-05,20000,19,6,1.9,0.25,0.5
-3.30493426322937,4.9475382517731936e-05,20000,20,6,1.9,0.5,0.25
-3.482738494873047,4.0190475562080024e-05,20000,21,6,2.0,0.0,0.25
-3.4325549602508545,4.258272728503527e-05,20000,22,6,2.0,0.25,0.5
-3.3102126121520996,4.992063676173471e-05,20000,23,6,2.0,0.5,0.25
