,Unnamed: 0,geom,key,hash,E_mean,method,tabc_weight,sfc_correction,zpve,hf_correction
0,0.0,9.1,"a=9.1_k=-0.20,-0.20,-0.20",60df6580722a9c60ca5945080c127b4e,-8.149422645568848,moon_tao_lih222,0.064,0.010486190432082647,0.0031134535614946897,
1,1.0,9.1,"a=9.1_k=-0.20,-0.20,-0.40",99a98dc474ec010342fb99cc316875bb,-8.155099868774414,moon_tao_lih222,0.096,0.010600522493177517,0.0031134535614946897,
2,2.0,9.1,"a=9.1_k=-0.20,-0.20,-0.60",f42c0f3c8b1b7f806f694fa98defcc7e,-8.159391403198242,moon_tao_lih222,0.192,0.010743774060242592,0.0031134535614946897,
3,3.0,9.1,"a=9.1_k=-0.20,-0.20,0.20",ebbd37ac1d9fc25438ef326233c74d6a,-8.156993865966797,moon_tao_lih222,0.192,0.010677709720165863,0.0031134535614946897,
4,4.0,9.1,"a=9.1_k=-0.20,-0.20,0.00",04449ff52e6ecffab70672c80810ef4e,-8.150476455688477,moon_tao_lih222,0.048,0.01051039906830205,0.0031134535614946897,
5,5.0,9.1,"a=9.1_k=-0.20,-0.40,-0.60",53616d0fdf9022d7f68530299f3ebd1c,-8.16010856628418,moon_tao_lih222,0.192,0.01074648467974206,0.0031134535614946897,
6,6.0,9.1,"a=9.1_k=-0.20,-0.60,-0.60",0631002a780da96be914289a70bf7357,-8.160272598266602,moon_tao_lih222,0.096,0.010733623257565267,0.0031134535614946897,
7,7.0,9.1,"a=9.1_k=-0.40,-0.40,-0.40",66b0e82e416c1c64fd2f58e56a1b96ec,-8.157479286193848,moon_tao_lih222,0.064,0.010719920608647258,0.0031134535614946897,
8,8.0,9.1,"a=9.1_k=-0.40,-0.40,0.00",50cbc410d238152b1e15b405db82cec7,-8.158785820007324,moon_tao_lih222,0.048,0.010700778026802728,0.0031134535614946897,
9,9.0,9.1,"a=9.1_k=0.00,0.00,0.00",8b17af2759d8205b3a3ba7d0202592ea,-8.142939567565918,moon_tao_lih222,0.008,0.01028767961508356,0.0031134535614946897,
10,10.0,8.7,"a=8.7_k=-0.20,-0.20,-0.20",0fdd950b5c91810f4d565b105a2ada6a,-8.155509948730469,moon_tao_lih222,0.064,0.01167735518483998,0.004484022632408862,
11,11.0,8.7,"a=8.7_k=-0.20,-0.20,-0.40",7914a9cda361b14fcbddb059ef4fd081,-8.16191577911377,moon_tao_lih222,0.096,0.011845956562204775,0.004484022632408862,
12,12.0,8.7,"a=8.7_k=-0.20,-0.20,-0.60",92d7adb8b02eb5238cfe4a7db8dc277c,-8.166936874389648,moon_tao_lih222,0.192,0.011975519223067116,0.004484022632408862,
13,13.0,8.7,"a=8.7_k=-0.20,-0.20,0.20",c6dba5542702ea771b61ff000cc0cdea,-8.164125442504883,moon_tao_lih222,0.192,0.011852201057662732,0.004484022632408862,
14,14.0,8.7,"a=8.7_k=-0.20,-0.20,0.00",3db2595f9462818a94e6ace16d2b03b3,-8.156644821166992,moon_tao_lih222,0.048,0.011703076558988225,0.004484022632408862,
15,15.0,8.7,"a=8.7_k=-0.20,-0.40,-0.60",3c331489d8ae8a13c8db8b218ebfb1d1,-8.167648315429688,moon_tao_lih222,0.192,0.011993679235368315,0.004484022632408862,
16,16.0,8.7,"a=8.7_k=-0.20,-0.60,-0.60",44d4dd367a60666d305c138ccae44972,-8.16778564453125,moon_tao_lih222,0.096,0.011995951891878518,0.004484022632408862,
17,17.0,8.7,"a=8.7_k=-0.40,-0.40,-0.40",be74820112ea3f56c96ea38122eaa272,-8.1646728515625,moon_tao_lih222,0.064,0.011927113763377729,0.004484022632408862,
18,18.0,8.7,"a=8.7_k=-0.40,-0.40,-0.00",d41a6b1fc1fd10e9dcabd1e79410e6dd,-8.166024208068848,moon_tao_lih222,0.048,0.011873929353082761,0.004484022632408862,
19,19.0,8.7,"a=8.7_k=0.00,0.00,0.00",64f9d247f162e7717d6ff54cc1462c99,-8.147954940795898,moon_tao_lih222,0.008,0.011413642070533943,0.004484022632408862,
20,20.0,8.3,"a=8.3_k=-0.20,-0.20,-0.20",22e407fc5e1076d2d9e6dd2197a98be2,-8.160698890686035,moon_tao_lih222,0.064,0.012648914195343986,0.0058545917033230276,
21,21.0,8.3,"a=8.3_k=-0.20,-0.20,-0.40",6c8411612575bbd66d13dce4afed5f88,-8.168139457702637,moon_tao_lih222,0.096,0.01288052008306086,0.0058545917033230276,
22,22.0,8.3,"a=8.3_k=-0.20,-0.20,-0.60",8de50b5438a29ff66b1f09f22a7b7e31,-8.173669815063477,moon_tao_lih222,0.192,0.01301223182492814,0.0058545917033230276,
23,23.0,8.3,"a=8.3_k=-0.20,-0.20,0.20",0ea93dfc912e46d738d5d88dfd9467ee,-8.170422554016113,moon_tao_lih222,0.192,0.012903187996623424,0.0058545917033230276,
24,24.0,8.3,"a=8.3_k=-0.20,-0.20,-0.00",ddfb9f216fffcc74eb043491332fb4c3,-8.161715507507324,moon_tao_lih222,0.048,0.012635444503666016,0.0058545917033230276,
25,25.0,8.3,"a=8.3_k=-0.20,-0.40,-0.60",0d418d503fdf260077549172f4b3c33f,-8.174405097961426,moon_tao_lih222,0.192,0.012966677570370396,0.0058545917033230276,
